platform,company_name,job_title,domain_category,skills_required,location,stipend,duration_months,posted_date,intern_type,cleaned_stipend
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 6,000 - 6,001 /month",3 Months,2025-05-10,Paid,6000.5
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 7,500 - 11,000 /month",6 Months,2025-05-10,Paid,9250.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 12,000 - 20,000 /month",6 Months,2025-05-10,Paid,16000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 11,000 - 15,000 /month",6 Months,2025-05-10,Paid,13000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 5,000 - 11,000 /month",6 Months,2025-05-10,Paid,8000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 6,000 - 8,000 /month",6 Months,2025-05-10,Paid,7000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 7,000 - 10,000 /month",6 Months,2025-05-10,Paid,8500.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 8,000 - 10,000 /month",6 Months,2025-05-10,Paid,9000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 10,000 - 12,000 /month",24 Months,2025-05-10,Paid,11000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 6,000 - 9,000 /month",4 Months,2025-05-10,Paid,7500.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,Not specified,2025-05-10,Unpaid,0.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 10,000 - 20,000 /month",3 Months,2025-05-10,Paid,15000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 2,000 - 4,000 /month",1 Month,2025-05-10,Paid,3000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 17,000 - 25,000 /month",12 Months,2025-05-10,Paid,21000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 5,000 - 7,000 /month",3 Months,2025-05-10,Paid,6000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 12,000 /month",6 Months,2025-05-10,Paid,12000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 18,000 - 20,000 /month",6 Months,2025-05-10,Paid,19000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 12,000 - 15,000 /month",3 Months,2025-05-10,Paid,13500.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 6,000 - 10,000 /month",2 Months,2025-05-10,Paid,8000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 8,000 - 15,000 /month",3 Months,2025-05-10,Paid,11500.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,1 Month,2025-05-10,Unpaid,0.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,1 Month,2025-05-10,Unpaid,0.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 2,000 - 5,000 /month",1 Month,2025-05-10,Paid,3500.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 8,000 - 10,000 /month",3 Months,2025-05-10,Paid,9000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,1 Month,2025-05-10,Unpaid,0.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 7,000 /month",2 Months,2025-05-10,Paid,7000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 25,000 /month",6 Months,2025-05-10,Paid,25000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,1 Month,2025-05-10,Unpaid,0.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 1,000 - 2,000 /month","₹ 1,000 - 2,000 /month",2025-05-10,Paid,1500.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 1,000 - 2,000 /week",Not specified,2025-05-10,Paid,1000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,1 Month,2025-05-10,Unpaid,0.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,Not specified,2025-05-10,Unpaid,0.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 15,000 /month",6 Months,2025-05-10,Paid,15000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,Not specified,2025-05-10,Unpaid,0.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,1 Month,2025-05-10,Unpaid,0.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 5,000 - 10,000 /month",3 Months,2025-05-10,Paid,7500.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 15,000 /month",6 Months,2025-05-10,Paid,15000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 1,000 - 2,000 /week",Not specified,2025-05-10,Paid,1000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 8,000 - 10,000 /month",6 Months,2025-05-10,Paid,9000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 2,000 - 5,000 /month",3 Months,2025-05-10,Paid,3500.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 8,000 - 10,000 /month",3 Months,2025-05-10,Paid,9000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 10,000 - 13,000 /month",24 Months,2025-05-10,Paid,11500.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 15,000 - 25,000 /month",6 Months,2025-05-10,Paid,20000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 15,000 - 20,000 /month",6 Months,2025-05-10,Paid,17500.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 10,000 - 12,000 /month",6 Months,2025-05-10,Paid,11000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 2,000 - 5,000 /month",3 Months,2025-05-10,Paid,3500.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 10,000 /month",3 Months,2025-05-10,Paid,10000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 2,000 - 5,000 /month",1 Month,2025-05-10,Paid,3500.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 15,000 /month",6 Months,2025-05-10,Paid,15000.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 10,000 - 15,000 /month",4 Months,2025-05-10,Paid,12500.0
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 2,000 - 8,000 /month",3 Months,2025-05-10,Paid,5000.0
LinkedIn,Aditya Birla Fashion and Retail Ltd.,Legal Intern,Not specified,Not provided,"Delhi, India",Not specified,Not specified,2025-04-11,Not specified,0.0
LinkedIn,Schbang,Social Media Marketing Intern,Not specified,Not provided,"Mumbai, Maharashtra, India",Not specified,Not specified,2025-04-22,Not specified,0.0
LinkedIn,SLB,Early Careers - Information Technology Internships,Not specified,Not provided,"Magrahat-II, West Bengal, India",Not specified,Not specified,2025-04-30,Not specified,0.0
LinkedIn,Schbang,Creative Intern,Not specified,Not provided,"Mumbai, Maharashtra, India",Not specified,Not specified,2025-04-23,Not specified,0.0
LinkedIn,PW (PhysicsWallah),Marketing Trainee,Not specified,Not provided,"Noida, Uttar Pradesh, India",Not specified,Not specified,2025-04-14,Not specified,0.0
LinkedIn,Hindustan Wellness,Human Resources (HR) Internship in Gurgaon,Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-05-04,Not specified,0.0
LinkedIn,Cosmofeed,Human Resources (HR) Internship in Gurgaon,Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-05-09,Not specified,0.0
LinkedIn,Paisabazaar,Human Resources (HR) Internship in Gurgaon,Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-04-24,Not specified,0.0
LinkedIn,WedMeGood: India's Favourite Wedding Planning Platform,Marketing Internship in Gurgaon (Hybrid),Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-04-25,Not specified,0.0
LinkedIn,Tower Research Capital,Machine Learning Intern 2025,Not specified,Not provided,"Gurgaon, Haryana, India",Not specified,Not specified,2025-04-23,Not specified,0.0
