platform,company_name,job_title,domain_category,skills_required,location,stipend,duration_months,posted_date,intern_type
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 6,000 - 6,001 /month",3 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 7,500 - 11,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 12,000 - 20,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 11,000 - 15,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 5,000 - 11,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 6,000 - 8,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 7,000 - 10,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 8,000 - 10,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 10,000 - 12,000 /month",24 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 6,000 - 9,000 /month",4 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,Not specified,2025-05-10,Unpaid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 10,000 - 20,000 /month",3 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 2,000 - 4,000 /month",1 Month,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 17,000 - 25,000 /month",12 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 5,000 - 7,000 /month",3 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 12,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 18,000 - 20,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 12,000 - 15,000 /month",3 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 6,000 - 10,000 /month",2 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 8,000 - 15,000 /month",3 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,1 Month,2025-05-10,Unpaid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,1 Month,2025-05-10,Unpaid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 2,000 - 5,000 /month",1 Month,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 8,000 - 10,000 /month",3 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,1 Month,2025-05-10,Unpaid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 7,000 /month",2 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 25,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,1 Month,2025-05-10,Unpaid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 1,000 - 2,000 /month","₹ 1,000 - 2,000 /month",2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 1,000 - 2,000 /week",Not specified,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,1 Month,2025-05-10,Unpaid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,Not specified,2025-05-10,Unpaid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 15,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,Not specified,2025-05-10,Unpaid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,Unpaid,1 Month,2025-05-10,Unpaid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 5,000 - 10,000 /month",3 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 15,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 1,000 - 2,000 /week",Not specified,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 8,000 - 10,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 2,000 - 5,000 /month",3 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 8,000 - 10,000 /month",3 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 10,000 - 13,000 /month",24 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 15,000 - 25,000 /month",6 Months,2025-05-10,Paid
Internshala,No Company Found,No Title Found,Not specified,Not provided,Not specified,"₹ 15,000 - 20,000 /month",6 Months,2025-05-10,Paid
